bhk,area_sqft,locality,furnishing,status,price_rupees,price_per_sqft
2,1395.0,Zundal,Unfurnished,Under Construction,4810000.0,3448.03
2,710.0,Shela,Unfurnished,Under Construction,5000000.0,7042.25
2,588.0,Sanand,Unfurnished,Under Construction,4000000.0,6802.72
2,687.0,Shela,Unfurnished,Under Construction,4880000.0,7103.35
2,621.0,Gota,Unfurnished,Under Construction,4800000.0,7729.47
2,1413.0,Zundal,Unfurnished,Under Construction,4990000.0,3531.49
2,700.0,Shela,Furnished,Under Construction,4910000.0,7014.29
2,765.0,Zundal,Furnished,Under Construction,4840000.0,6326.8
2,655.0,Shela,Unfurnished,Under Construction,4520000.0,6900.76
2,676.0,Shela,Furnished,Under Construction,4260000.0,6301.78
2,1085.0,Shela,Furnished,Under Construction,4800000.0,4423.96
1,635.0,Jagatpur,Furnished,Ready To Move,3800000.0,5984.25
2,675.0,Jagatpur,Furnished,Ready To Move,5000000.0,7407.41
2,668.0,Shela,Furnished,Ready To Move,4250000.0,6362.28
2,774.0,Zundal,Furnished,Under Construction,4990000.0,6447.03
2,687.0,Bopal,Semi-Furnished,Ready To Move,5000000.0,7278.02
2,709.0,Shela,Furnished,Under Construction,4320000.0,6093.09
2,1085.0,Shela,Furnished,Under Construction,4500000.0,4147.47
2,596.0,Shela,Furnished,Under Construction,4340000.0,7281.88
2,575.0,Sanand,Furnished,Under Construction,3900000.0,6782.61
3,774.0,Sanand,Furnished,Under Construction,4400000.0,5684.75
2,684.0,Bopal,Furnished,Under Construction,4480000.0,6549.71
2,704.0,Bopal,Furnished,Under Construction,4900000.0,6960.23
2,1090.0,Shela,Furnished,Under Construction,4800000.0,4403.67
2,596.0,Shela,Furnished,Under Construction,4290000.0,7197.99
2,1100.0,Gota,Furnished,Ready To Move,4950000.0,4500.0
2,1220.0,Shela,Furnished,Under Construction,3780000.0,3098.36
2,700.0,Shela,Furnished,Under Construction,4700000.0,6714.29
2,1260.0,Shela,Furnished,Under Construction,4470000.0,3547.62
2,750.0,Shela,Furnished,Under Construction,4930000.0,6573.33
2,1085.0,Shela,Furnished,Under Construction,4700000.0,4331.8
2,605.0,Shela,Furnished,Under Construction,4070000.0,6727.27
2,750.0,Shela,Furnished,Under Construction,4900000.0,6533.33
2,590.0,Shela,Furnished,Under Construction,4700000.0,7966.1
2,1244.0,Bopal,Furnished,Under Construction,4230000.0,3400.32
2,597.0,Shela,Furnished,Under Construction,4560000.0,7638.19
2,1290.0,Shela,Furnished,Under Construction,4320000.0,3348.84
2,621.0,Shela,Furnished,Under Construction,4180000.0,6731.08
1,456.0,Gota,Furnished,Under Construction,2900000.0,6359.65
2,1350.0,Shela,Furnished,Under Construction,4860000.0,3600.0
3,700.0,Shela,Furnished,Under Construction,4190000.0,5985.71
2,632.0,Shela,Furnished,Under Construction,5000000.0,7911.39
2,561.0,Bopal,Furnished,Ready To Move,4400000.0,7843.14
2,610.0,Shela,Furnished,Under Construction,5000000.0,8196.72
2,777.0,Amraiwadi,Unfurnished,Ready To Move,4500000.0,5791.51
1,646.0,Bopal,Furnished,Ready To Move,2050000.0,3173.37
2,687.0,Shela,Furnished,Under Construction,4630000.0,6739.45
2,783.0,New Cg,Furnished,Ready To Move,5000000.0,6385.7
2,1260.0,Gota,Furnished,Ready To Move,4800000.0,3809.52
2,1244.0,Bopal,Unfurnished,Under Construction,4230000.0,3400.32
3,1773.0,Vastral,Furnished,Ready To Move,5400000.0,3045.69
1,646.0,Bopal,Furnished,Ready To Move,2500000.0,3869.97
2,1273.0,Gota,Semi-Furnished,Ready To Move,4800000.0,3770.62
2,572.0,Shela,Furnished,Under Construction,4750000.0,8304.2
2,582.0,Jagatpur,Furnished,Under Construction,4950000.0,8505.15
2,597.0,Shela,Furnished,Ready To Move,3900000.0,6532.66
2,642.0,Shela,Furnished,Ready To Move,4800000.0,7476.64
2,1026.0,Gota,Furnished,Ready To Move,4800000.0,4678.36
